method,save,load,size
0-0-0,5.735621929168701,3.4010488986968994,96889065.0
0-0-1,50.658639907836914,1.7580931186676025,71000130.0
0-1-0,1.279482126235962,1.0636589527130127,35006902.0
0-1-1,28.733766794204712,0.9066479206085205,33006620.0
1-0-0,8.347525119781494,3.2791740894317627,7705587.0
1-0-1,50.69878101348877,1.9835419654846191,241244.0
1-1-0,1.4322490692138672,1.1406710147857666,108435.0
1-1-1,28.816884994506836,0.9390630722045898,102209.0
2-0-0,14.754153966903687,4.941380023956299,4565364.0
2-0-1,68.42434310913086,2.4431848526000977,17904.0
2-1-0,10.14846682548523,1.523055076599121,11424.0
2-1-1,35.658392906188965,1.2822937965393066,9724.0
